Name,Abkürzung,Typ,Abteilung,Fachbereich,Link,Beschreibung,Ansprechpartner*In,Aktualisiert
Bundesverband Medizinische Versorgungszentren - Gesundheitszentren - Integrierte Versorgung,,,,,http://www.bmvz.de/,,,
Bundesvereinigung Prävention und Gesundheitsförderung,,,,,www.bvpraevention.de,,,
Bundeszentrale für gesundheitliche Aufklärung,BZgA,,,,www.bzga.de,,,
Deutsche Hauptstelle für Suchtfragen e.V.,DHS,,,,www.dhs.de,,,
Deutsche Krebshilfe,,,,,https://www.krebshilfe.de,,,
Deutscher Verkehrssicherheitsrat e.V.,,,,,https://www.dvr.de/,,,
Deutsches Institut für medizinische Dokumentation und Information,DIMDI,,,,www.dimdi.de,,,
Deutsches Netzwerk Gesundheitsfördernder Krankenhäuser und Gesundheitseinrichtungen e.V.,DNGfK,,,,http://dngfk.de/,,,
DGUV,,,,,,,,
Gesundheit Berlin-Brandenburg - Arbeitsgemeinschaft für Gesundheitsförderung,,,,,http://www.gesundheitbb.de,,,
Hamburgische Arbeitsgemeinschaft für Gesundheitsförderung,,,,,http://www.hag-gesundheit.de/,,,
Hessische Arbeitsgemeinschaft für Gesundheitsförderung e.V.,,,,,www.hage.de,,,
Initiative Gesundheit und Arbeit,iga,,,,www.iga-info.de,,,
Initiative Neue Qualität der Arbeit,INQA,,,,www.inqa.de,,,
Landesgesundheitsamt Baden-Württemberg,,,,,https://www.gesundheitsamt-bw.de/lga/DE/Seiten/default.aspx,,,
Landesinstitut für Arbeitsgestaltung des Landes Nordrhein-Westfahlen,,,,,https://www.lia.nrw.de/,,,
Landesvereinigung für Gesundheit Bremen,,,,,http://lvg-gesundheit-bremen.de/,,,
Landesvereinigung für Gesundheit Sachsen-Anhalt,,,,,http://www.lvg-lsa.de,,,
Landesvereinigung für Gesundheit und Akademie für Sozialmedizin Niedersachsen,,,,,http://www.gesundheit-nds.de,,,
Landesvereinigung für Gesundheitsförderung Mecklenburg-Vorpommern,,,,,http://www.gesundheitsfoerderung-mv.de/,,,
Landesvereinigung für Gesundheitsförderung Schleswig-Holstein,,,,,http://lvgfsh.de/gesundheitsfoerderung/startseite.php,,,
Landeszentrale für Gesundheit in Bayern,,,,,http://www.lzg-bayern.de/,,,
Landeszentrale für Gesundheitsförderung in Rheinland-Pfalz,,,,,https://www.lzg-rlp.de/de/,,,
Landeszentrum Gesundheit Nordrhein-Westfahlen,,,,,https://www.lzg.nrw.de/index.html,,,
Langesvereinigung für Gesundheitsförderung Thüringen e.V. ,AGETHUR,,,,http://agethur.de/,,,
Sächsische Landesvereinigung für Gesundheitsförderung,,,,,https://www.slfg.de/,,,
Berufsverband Gesundheitsförderung,,,,,https://www.bv-gesundheitsfoerderung.de/,,,
Globalisation and Health Initiative,,Studentische Initiative,,,https://gandhiaachen.wordpress.com/,,gandhiaachen@googlemail.com,
Medinetz Aachen e.V. ,,Verein,,,medinetzaachen.org ,,medinetzaachen@mailbox.org,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://www.amnesty-hsg-aachen.de/Main/Informieren,,info@amnesty-hsg-aachen.de,
Eine Welt Forum Aachen,,Verein,,,https://www.1wf.de/,,1wf@1wf.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-aachen/,,,
Mit Sicherheit verliebt ,,Studentische Initiative,,,http://www.fsmed-aachen.de/fswiki/index.php/Mit_Sicherheit_Verliebt,,vorsitz.aachen@sicher-verliebt.de,
UAEM,,Studentische Initiative,,,https://de-de.facebook.com/uaemaachen/,,uaem.aachen@gmail.com,
GH Community of Practice Berlin (ehemals Global Health AG),,Studentische Initiative,,,https://globalhealthcharite.wordpress.com/,,global-health@charite.de,
Medical Students for choice ,,Studentische Initiative ,,,https://msfcberlin.com/,,info@msfcberlin.de,
UAEM ,,Studentische Initiative,,,http://fsi-charite.de/universities-allied-for-essential-medicines/,,"rike5@yahoo.de, mathis.simon89@googlemail.com",
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-berlin/,,aufklaerungtabak@gmailcom,
Mit Sicherheit verliebt ,,Studentische Initiative,,,http://fsi-charite.de/mit-sicherheit-verliebt/,,berlin@sicher-verliebt.de,
Amnesty International Hochschulgruppe - TU,,Studentische Initiative,,,http://www.amnesty-tub.de/,,kontakt@amnesty-tub.de,
Amnesty International Hochschulgruppe - FU,,Studentische Initiative,,,http://amnesty-fu-berlin.de/,,berlin-fu@amnestystudents.org,
Amnesty International Hochschulgruppe - HU,,Studentische Initiative,,,http://www.amnesty-huberlin.de/,"Wir, die Hochschulgruppe von Amnesty International an der HU Berlin und der Charité, sind eine bunte Truppe von Studierenden, denen es wichtig ist, sich für internationale Menschenrechte einzusetzen. Dazu planen wir Veranstaltungen und Events, um den Blick auf Themen wie den Jemen-Krieg, weibliche Genitalverstümmelung oder die Verfolgung von LGBTQI*-Menschen zu lenken und die Leute anzuregen, ihr eigenes Weltbild zu hinterfragen und beispielsweise durch das Unterzeichnen von Petitionen selbst die Arbeit von Amnesty International zu unterstützen. Denn jede*r kann gegen Menschenrechtsverletzungen tätig werden!",amnesty.hu.berlin@gmail.com,
IPPNW Studierendengruppe,,Studentische Initiative,,,fsi-charite.de/ippnw/,,Frida-Elisa.michels@charite.de,
AG welcome+Med ,,Studentische Initiative,,,http://fsi-charite.de/ag-welcomemed/,,welcomemedberlin@gmail.com,
Diagnost-x,,Studentische Initiative,,,https://diagnost-x.de/,,,
Young Leaders for Health,,Verein,,,https://www.youngleadersforhealth.org/,,,
MediBüro Berlin,,Verein,,,https://medibuero.de/,,info@medibuero.de,
open.med Berlin,,,,,https://www.aerztederwelt.org/wem-wir-beistehen/hilfe-fuer-patientinnen,,open.med@medizin-hilft.org,
Kritische Mediziner*innen,,Studentische Initiative,,,http://kritischemedizinerinnen.blogsport.eu/,,kritischemediziner_innen@riseup.net,
Nachwuchsnetzwerk Öffentliche Gesundheit (NÖG),,Studentische Initiative,,,http://noeg.org/,,,
Students for Planetary Health Berlin (SfPHBerlin),,Studentische Initiative,,,https://plattform-n.org/project/students-for-planetary-health-berlin-sf/,"Wir sind eine interdisziplinäre Studierenden-Initiative mit dem Ziel, die Strömung Planetary Health voranzubringen und für die Planetare Gesundheit als solche zu wirken. Wir organisieren Workshops, Projekte und Aktionen für verschiedene Zielgruppen und wollen uns austauschen, weiterbilden und vernetzen.",planetaryhealth.berlin@gmail.com,
MSV für minderjährige Geflüchtete,,Studentische Initiative,,,,,,
Malteser Migranten Medizin,,Verein,,,https://www.malteser-berlin.de/migration-auslandsdienst/malteser-medizin-fuer-menschen-ohne-krankenversicherung.html,,mmmedizin@malteser-berlin.de,
AG Public Health,,Studentische Initiative,,,http://fsi-charite.de/ag-public-health/,,public-health@fsi-charite.de,
Refugee Law Clinic,,Verein,,,https://www.rlc-berlin.org,,info@rlc-berlin.org,
Mit Sicherheit verliebt ,,Studentische Initiative,,,,,bochum@sicher-verliebt.de,
You-Manity,,Studentische Initiative ,,,http://bochum.you-manity.org/,,bochum@you-manity.org,
AG Gesundheitspolitik ,,Studentische Initiative,,,http://www.fsmed.ruhr-uni-bochum.de/bvmd/SCOHP/index.html,,nohp@bvmd.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-bochum/,,,
IPPNW Studierendengruppe,,Studentische Initiative,,,https://www.ippnw.de/der-verein/studierende/studierendengruppen/artikel/de/ruhr-uni-bochum-und-uni-witten-her.html,,medizinstudierende-in-sozialer-verantwortung@posteo.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,https://bochum.amnesty-international.de/,,bochum@amnestystudents.org,
Kooperation mit Plan B,,,,,,,,
Medizinische Flüchtlingshilfe Bochum e.V. ,,Verein,,,https://mfh-bochum.de/,,info@mfh-bochum.de,
Refugee Law Clinic,,Verein,,,http://rlc-bochum.de,,http://rlc-bochum.de/index.php/kontakt/,
Kritische Mediziner*innen,,Studentische Initiative,,,https://kritmedbonn.wordpress.com/,,kritische_medizinstudent.innen_bonn@riseup.net,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://fachschaftmedizin.uni-bonn.de/mit-sicherheit-verliebt/,,bonn@sicher-verliebt.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://amnesty-bonn-uni.de/,,1066@amnesty-bonn.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-bonn/,,bonn@gegentabak.de,
Medinetz Bonn,,Verein,,, medinetzbonn@mailbox.org,Das MediNetzBonn vermittelt Menschen ohne Papiere einen Zugang zu medizinischer Versorgung.,medinetzbonn@mailbox.org,
IPPNW Studierendengruppe,,Studentische Initiative,,,,,,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.facebook.com/Mit-Sicherheit-verliebt-Dresden,,dresden@sicher-verliebt.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-dresden/,,,
on the move,,Studentische Initiative,,,https://www.on-the-move.de/,,info@on-the-move.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://amnesty-hochschulgruppe-dresden.de/,,info@amnesty-hochschulgruppe-dresden.de,
Medinetz Dresden,,Verein,,,https://www.medinetz-dresden.org,,medinetzdresden@gmx.de,
Refugee Law Clinic,,Verein,,,https://tu-dresden.de/gsw/der-bereich/profil/zentren/zfi/forschung-und-praxis/refugee-law-clinic,"Die Refugee Law Clinic Dresden ist ein Team aus Studierenden und Lehrbeauftragten, das ehrenamtlich kostenlose Rechtsberatung für Geflüchtete anbietet.",Refugee-LawClinic@mailbox.tu-dresden.de,
IDA - Initiative Deutschkurse für Asylsuchende,,Studentische Initiative,,,https://www.ida-dresden.de/de/ueber-uns/konzept/,,ida-dresden@mailbox.tu-dresden.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,,,essen@sicher-verliebt.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-essen/,,,
Medinetz Essen e.V.,,Verein,,,,,info@medinetz-essen.de,
IPPNW Studierendengruppe,,Studentische Initiative,,,http://fsmed.de/projekte/ideell-unterstuetzte-projekte/ippnw/,,duesseldorf@ippnw.de,
AG Flüchtlingshilfe ,,Studentische Initiative,,,http://fsmed.de/projekte/ag-fluechtlingshilfe/,,projekt.fluechtlingshilfe@fsmed.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,http://fsmed.de/mit-sicherheit-verliebt-grundlagen-workshop/,,sicher-verliebt@uni-duesseldorf.de,
Aufklärung gegen Tabak,,Verein,,,http://gegentabak.de/universitaet-duesseldorf/,,gegentabak-hhu@web.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://www.amnesty-hhu.de/,,duesseldorf@amnestystudents.org,
Stay - Medinetz Düsseldorf,,Verein,,,https://www.stay-duesseldorf.de/medinetz/,,medinetz@stay-duesseldorf.de,
Refugee Law Clinic,,Verein ,,,https://rlc-duesseldorf.de/,,http://rlc-duesseldorf.de/de/interessierte/#contact_form_7,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,uni.amnesty-erlangen.de,,erlangen@amnestystudents.org,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-erlangen/,,agt.unierlangen@gmail.com,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://blogs.fau.de/kanuele/mit-sicherheit-verliebt/,,erlangen@sicher-verliebt.de,
Medizin & Menschenrechte Erlangen / Medizinische Flüchtlingshilfe Erlangen,,Studentische Initiative,,,https://blogs.fau.de/medmensch/,,medizinundmenschenrechte@yahoo.de,
Medizinische Flüchtlingshilfe - Projekt der AG Medizin und Menschenrechte,,Studentische Initiative ,,,http://www.fmm.med.uni-erlangen.de/med-flchtlingshilfe.shtml,,,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,https://www.facebook.com/Amnesty-International-Hochschulgruppe-N%C3%BCrnberg-223625674892942,,nuernberg@amnestystudents.org,
Refugee Law Clinic,,Verein,,,http://www.rlc-erlangen.de,,info@rlc-erlangen.de,
MfM Mediziner_Innen für Menschenrechte / Junge IPPNW Frankfurt,,Studentische Initiative,,,http://www.mfm-frankfurt.de/,,mail@mfm-frankfurt.de ,
StuPoli - Studentische Poliklinik Frankfurt ,,Studentische Initiative,,,https://de-de.facebook.com/StuPoli/,,,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://mitsicherheitverliebt.blogspot.com/,,frankfurt@sicher-verliebt.de,
Malteser Migranten Medizin,,Verein ,,,http://www.malteser-frankfurt.de/dienste-und-leistungen/weitere-dienstleistungen/malteser-migranten-medizin.html,,info@malteser-frankfurt.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/uni-frankfurt/,,,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,https://unifrankfurt.amnesty-international.de/,,frankfurt-main@amnestystudents.org,
Aufklärung gegen Tabak,,Verein,,,http://www.ofamed.de/projekte/aufklaerung_gegen_tabak.htm,,agt@ofamed.de,
MIO - Menschenrechtsinitiative der Offenen Fachschaft Medizin,,Studentische Initiative,,,http://www.ofamed.de/projekte/menschenrechtsinitiative_ofamed.htm,,mio @ ofamed.de,
Kritische Mediziner*innen,,Studentische Initiative,,,http://kritmedis.de/,,kritmedisfr@riseup.net,
UAEM,,Studentische Initiative,,,https://www.facebook.com/UAEMFreiburg/,,,
Mit Sicherheit verliebt ,,Studentische Initiative,,,http://www.ofamed.de/projekte/mit_sicherheit_verliebt.htm,,msv@ofamed.de,
Medinetz Freiburg,,Verein,,,http://www.medinetz.rasthaus-freiburg.org,,info@medinetz.rasthaus-freiburg.org,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,https://freiburg.amnesty-international.de/gruppen/hochschulgruppefreiburg,,freiburg@amnestystudents.org,
Refugee Law Clinic,,Verein,,,https://rlc-freiburg.org,,info@rlc-freiburg.org,
Unified for health,,Studentische Initiative,,,,,,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.facebook.com/MSVGiessen,,giessen@sicher-verliebt.de,
AG - Ethik in der Medizin,,Studentische Initiative,,,http://fsmed.net/projekte-im-fachbereich/ag-ethik/,,Ethik.AG@med.uni-giessen.de,
Aufklärung gegen Tabak,,Verein,,,http://fsmed.net/projekte-im-fachbereich/aufklarung-gegen-tabak-e-v/,,aufklaerung.tabak@paediat.med.uni-giessen.de,
Medinetz Gießen,,Verein,,,www.medinetz-giessen.de/,,medinetz@medinetz-giessen.de,
Refugee Law Clinic,,Verein,,,www.refugeelawclinic.de,Die Refugee Law Clinic Gießen ist ein praxisbezogenes Ausbildungsprogramm im Asyl- und Flüchtlingsrecht für Studierende. Im Rahmen der Ausbildung bieten Studierende Geflüchteten ehrenamtlich Rechtsberatung hinsichtlich des Asylverfahrens an.,rlc@recht.uni-giessen.de,
IPPNW Studierendengruppe,,Studentische Initiative ,,,https://www.uni-goettingen.de/de/ippnw+deutschland+-++internationale+%C3%84rzte+f%C3%BCr+die+verh%C3%BCtung+des+atomkrieges+/+%C3%84rzte+in+sozialer+verantwortung+e.v./118860.html,,,
Basisgruppe Medizin,,Studentische Initiative ,,,http://www.bgmed.org/doku.php,,info@bgmed.org,
Medinetz Göttingen - solidarity with migrants,,Verein ,,,http://www.medinetz-goettingen.de/,,medinetz_goettingen@posteo.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.facebook.com/msvgoettingen,,goettingen@sicher-verliebt.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-goettingen/,,,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://www.amnesty-uni-goettingen.de/,,aigoe1121@gmail.com,
Refugee Law Clinic,,Verein,,,https://rlc-goettingen.de,,https://rlc-goettingen.de/kontakt/,
Katastrophenmedizin und Humanitäre Arbeit ,,Studentische Initiative,,,https://www.fsrmed.de/lokalprojekte/katastrophenmedizin.html,,,
Medizin und Menschenrechte,,Studentische Initiative ,,,http://neu.mum-hgw.de/,,medizin.menschenrechte@gmail.com,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.fsrmed.de/lokalprojekte/mit-sicherheit-verliebt-msv.html,,info@msv-greifswald.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,https://greifswald.amnesty-international.de/,,greifswald@amnestystudents.org,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://ai-campus.de/en/,,kontakt@halle.ai-campus.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.msv-halle.com/,,halle@sicher-verliebt.de,
Medinetz Halle ,,Verein,,,https://medinetz-halle.de/,,mail@medinetz-halle.de,
Malteser Migranten Medizin,,Verein,,,https://www.malteser-hamburg.de/dienste-und-leistungen/weitere-dienstleistungen/malteser-migranten-medizin.html,,malteser.hamburg@malteser.org ,
Medibuero Hamburg,,Verein,,,http://www.medibuero-hamburg.org/,,info@medibuero-hamburg.org,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.facebook.com/MitSicherheitVerliebt.Hamburg,,hamburg@sicher-verliebt.de,
UAEM,,Studentische Initiative,,,https://medizin-hamburg.de/projekte/uaem-universities-allied-for-essential-medicines/,,uaem.hamburg@gmail.com,
Migrantenmedizin westend ,,,,,https://www.aerztederwelt.org/presse-und-publikationen/publikationen/2016/04/26/projekt-openmed-muenchen,,openmed@aerztewelt.org,
Refugee Law Clinic,,Verein,,,https://rlc-hh.de/de/,,rlc-team@uni-hamburg.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-hamburg/,,,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://www.amnesty-uni-hamburg.de/,,hamburg@amnestystudents.org,
Medinetz Hannover,,Verein,,,https://www.medinetz-hannover.de/de/,,medinetz-hannover@posteo.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://msv-hannover.wixsite.com/msv-hannover,,hannover@sicher-verliebt.de,
AstA-Referat für Internationales / Projektgruppe Globale Gesundheit Hannover,,Studentische Initiative,,,https://www.mh-hannover.de/802.html,,internationales@mhh-asta.de,
IPPNW Studierendengruppe,,Studentische Initiative,,,https://www.ippnw.de/der-verein/studierende/studierendengruppen/artikel/de/hannover.html,,ippnw@mhh-asta.de,
Malteser Migranten Medizin,,Verein,,,,,mmm@malteser-hannnover.de,
Medizinische Flüchtlingssolidarität,,,,,https://de-de.facebook.com/people/Mfs-Medizinische-Fl%C3%BCchtlingssolidarit%C3%A4t-Hannover/100000864502028,,,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-hannover/,,agt@mhh-asta.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,https://www.amnesty-hannover.de/index.php/wir-ueber-uns.html,,hannover@amnestystudents.org,
Refugee Law Clinic,,Verein,,,https://rlc-hannover.de,,mail@rlc-hannover.de,
Aufklärung gegen Tabak,,Verein,,,https://www.fsmed-hd.de/fachschaft/arbeitskreise/aufklaerung-gegen-tabak/,,,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://msv-hannover.wixsite.com/msv-hannover,,heidelberg@sicher-verliebt.de,
Medinetz Rhein Neckar,,Verein,,,http://medinetz-rhein-neckar.de/,,mail@medinetz-rhein-neckar.de,
Medical Students for Refugees ,,,,,https://de-de.facebook.com/FsMedHD/posts/frohes.../1123040987720424/,,,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://www.amnesty-heidelberg.de/Main/Start,,gruppensprecher1369@gmx.de,
UAEM,,Studentische Initiative,,,https://dschungelbuch.stura.uni-heidelberg.de/index.php/Universities_Allied_for_Essential_Medicines_(UAEM),,uaem-hd@listserv.uni-heidelberg.de,
Medizinstudentische Initiative die sich für Geflüchtete engagiert,,Studentische Initiative ,,,,,,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://mzmh.de/mitsicherheitverliebt/home,,homburg@sicher-verliebt.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-homburg/,,agt-homburg@outlook.com,
Eine Welt AG Homburg,,Studentische Initiative,,,https://www.facebook.com/EineWeltAGHomburg/,,,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://amnesty-uni-jena.de/,,jena@amnestystudents.org,
Medinetz Jena,,Verein,,,http://fsrmed-jena.de/wp/projekte/medinetz-anonymer-krankenschein/,,medinetz@listserv.uni-jena.de,
IPPNW Studierendengruppe / Medinetz Jena,,Studentische Initiative,,,http://fsrmed-jena.de/wp/projekte/medinetz-anonymer-krankenschein/,,kontakt@medinetz-jena.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,http://fsrmed-jena.de/wp/projekte/mit-sicherheit-verliebt/,,msv-jena@gmx.de,
Aufklärung gegen Tabak,,Verein,,,http://fsrmed-jena.de/wp/projekte/aufklaerung-gegen-tabak/,,agt.jena@gmail.com,
Refugee Law Clinic,,Verein,,,https://rlc-jena.de,,rlc_jena@riseup.net,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://amnesty-uni-kiel.de/,,kiel@amnestystudents.org,
Medibuero Kiel,,Verein,,,https://www.medibuero-kiel.de/,,info@medibuero-kiel.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,http://www.fs-medizin.uni-kiel.de/wp2/wordpress/index.php/arbeitsgruppen/mit-sicherheit-verliebt/,,sicher.verliebt.kiel@googlemail.com,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-kiel/,,,
Medizin und Menschenrechte,,Studentische Initiative,,,http://www.fs-medizin.uni-kiel.de/wp2/wordpress/index.php/arbeitsgruppen/medizin-und-menschenrechte/,,mmk@fs-medizin.uni-kiel.de,
Refugee Law Clinic,,Verein,,,http://law-clinic-kiel.de,,info@law-clinic-kiel.de,
Kritische Medizinstudierende,,Studentische Initiative,,,http://www.krit-med.uni-koeln.de/,,kritischemedizinstudierende@posteo.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://www.amnesty-hsgkoeln.de/,,amnesty@uni-koeln.de ,
Mit Sicherheit verliebt ,,Studentische Initiative,,,http://www.fsmed-koeln.de/20800.html,,koeln@sicher-verliebt.de,
UAEM ,,Studentische Initiative,,,https://www.facebook.com/uaemkoeln/,Bei UAEM Köln beschäftigen wir uns mit bedarfsgerechter Medikamentenforschung und der Rolle unserer Universitäten für den weltweiten Zugang zu Medikamenten.,,
Refugee Law Clinic,,Verein,,,http://lawcliniccologne.com/,,info@lawcliniccologne.com,
AG Health Buddies for Refugees,,Studentische Initiative,,,http://www.fsmed-koeln.de/20801.html,,orga-healthbuddies-refugees@gmx.de,
Malteser Migranten Medizin,,Verein,,,https://www.malteser-koeln.de/dienste-und-leistungen/weitere-dienstleistungen/malteser-medizin-fuer-menschen-ohne-krankenversicherung.html,,MMM.Koeln@Malteser.org,
AG Aufklärung gegen Tabak,,Verein,,,http://www.fsmed-koeln.de/29352.html,,agtkoeln@gmail.com,
UAEM Leipzig,,Studentische Initiative ,,,https://sturamed-leipzig.de/partner/uaem-leipzig/,,kontakt@uaem-leipzig.de,
IPPNW Studierendengruppe,,Studentische Initiative ,,,https://www.ippnw.de/der-verein/studierende/studierendengruppen/artikel/de/leipzig.html,,studigruppe-leipzig@ippnw-lists.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://sturamed-leipzig.de/partner/mit-sicherheit-verliebt/,,msvleipzig@gmail.com,
Medinetz Leipzig,,Verein,,,http://www.medinetz-leipzig.de/index.php?id=1,,kontakt@medinetz-leipzig.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://www.amnesty-hochschulgruppe-leipzig.de/,,ai.hochschulgruppe.leipzig@googlemail.de,
IPPNW Studierendengruppe,,Studentische Initiative,,,https://www.fsmed.uni-luebeck.de/ags/ippnw/,"Wir sind eine der deutschlandweiten Studigruppen der ""IPPNW"" und beschäftigen uns mit Themen rund um Atomwaffen und Abrüstung, arbeiten aber auch zu Klima und Gesundheit und anderen Bereichen von sozialen Verantwortung in der Medizin und darüber hinaus. ",luebeck@ippnw.de,
Medibuero Lübeck,,Verein,,,www.medibuero-hl.de,,medibuero.hl@googlemail.com,
UAEM Lübeck,,Studentische Initiative,,,https://www.fsmed.uni-luebeck.de/ags/uaem-universities-allied-for-essential-medicines/,,uaem@fsmed.uni-luebeck.de,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.fsmed.uni-luebeck.de/ags/msv,,luebeck@sicher-verliebt.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,https://amnesty-luebeck.de/,,luebeck@amnestystudents.org,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-luebeck/,,agt.luebeck@gmail.com,
Einblick schafft Durchblick,,Studentische Initiative,,,https://www.fsmed.uni-luebeck.de/ags/einblick-schafft-durchblick/,,,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,https://www.amnesty.de/mitmachen/gruppe-finden/hochschulgruppe-magdeburg,,magdeburg@amnestystudents.org,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.facebook.com/Mit-Sicherheit-Verliebt-Magdeburg,,magdeburg@sicher-verliebt.de,
Medinetz Magdeburg,,Verein,,,http://medinetz-magdeburg.de/,,kontakt@medinetz-magdeburg.de,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-mainz/,,agt.mainz@outlook.com,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.campus-mainz.net/newsdetails/news/mit-sicherheit-verliebt/,,mainz@sicher-verliebt.de,
Medinetz Mainz,,Verein,,,http://www.medinetzmainz.de/,,info@medinetzmainz.de,
IPPNW Studierendengruppe,,Studentische Initiative,,,https://www.ippnw.de/der-verein/studierende/studierendengruppen/artikel/de/mainz.html,,,
Refugee Law Clinic,,Verein,,,https://www.rlc.uni-mainz.de,,info@rlc.uni-mainz.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://amnesty-uni-mannheim.de/wordpress/,,info@amnesty-uni-mannheim.de,
Aufklärung gegen Tabak,,Verein,,,https://fimm-online.de/pw/projekte/aufklarung-gegen-tabak-mannheim/,,gegentabak.mannheim@gmail.com,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.facebook.com/msvmannheim,,mannheim@sicher-verliebt.de,
Medinetz Rhein Neckar,,Verein,,,http://medinetz-rhein-neckar.de/,,mail@medinetz-rhein-neckar.de,
Malteser Migranten Medizin,,Verein,,,https://www.malteser-mannheim.de/dienste-und-leistungen/weitere-dienstleistungen/malteser-medizin-fuer-menschen-ohne-krankenversicherung-mmm.html,,mmm.mannheiem@malteser.org,
bvmd AG Gesundheitspolitik,,Studentische Initiative,,,https://fimm-online.de/pw/projekte/gesundheitspolitik/,,gesundheitspolitik@fimm-online.de,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,,,marburg@amnestystudents.org,
Aufklärung gegen Tabak,,Verein,,,https://gegentabak.de/universitaet-marburg/,,,
Mit Sicherheit verliebt ,,Studentische Initiative,,,https://www.facebook.com/msv.Marburg,,marburg@sicher-verliebt.de,
Medinetz Marburg,,Verein,,,https://www.medinetz-marburg.de/,,info@medinetz-marburg.de,
Lessons in Health,,Studentische Initiative,,,,,https://l.facebook.com/l.php?u=https%3A%2F%2Fm.me%2FLessonsInHealthMarburg%3Ffbclid%3DIwAR19jE6EjphZ7iJD1I4mzGsYY_-dxO0c7d6NU606n8prKvfPZGUyZC1wCBQ&h=AT2fD6V4cRW4Pk1rPNbeEfIMy3MBjakCm4H0Xupv4gxygfovVO4G8BTdZg__Hi7DNx257xHp1vX-qtbhCg4WS7epSYd49j8TqjK1Q2ILzG_lkkSLTD-htqLw6uvbF3RWp63mZCU7wz9GLEzDnYLQLrK_,
open.med ,,,,,,,,
Amnesty International Hochschulgruppe,,Studentische Initiative,,,http://www.amnesty-muenchen-lmu.de/,,info@amnesty-muenchen-lmu.de,
